Name of Licensee (English),Name of Licensee (Chinese),Branch Name (English),Branch Name (Chinese),Address (English only),Address Type (English),Address Type (Chinese),As at (Date)
YOUTHFUL CAPITAL COMPANY LIMITED TRADING AS RICHLY MONEY EXCHANGE,裕瑞企業有限公司 營業名稱 新北江人民幣(外幣)找換行,UNIVERSAL MONEY EXCHANGE,大馬路找換店,,Specified Premises,指明處所,29/11/2023
YOUTHFUL CAPITAL COMPANY LIMITED TRADING AS RICHLY MONEY EXCHANGE,裕瑞企業有限公司 營業名稱 新北江人民幣(外幣)找換行,UNIVERSAL TIN SHING MONEY EXCHANGE,天盛人民幣(外幣)找換行,,Specified Premises,指明處所,29/11/2023
YU CHAU LING EMILY TRADING AS UNIVERSAL MONEY EXCHANGE CO.,俞秋伶 營業名稱 匯通人民幣(外幣)找換店,,,,Specified Premises,指明處所,29/11/2023
YU CHAU LING EMILY TRADING AS UNIVERSAL MONEY EXCHANGE CO.,俞秋伶 營業名稱 匯通人民幣(外幣)找換店,UNIVERSAL MONEY EXCHANGE CO.,滙通人民幣(外幣)找換店,,Specified Premises,指明處所,29/11/2023
YU CHAU LING EMILY TRADING AS UNIVERSAL MONEY EXCHANGE CO.,俞秋伶 營業名稱 匯通人民幣(外幣)找換店,UNIVERSAL MONEY EXCHANGE CO.,匯通人民幣(外幣)找換行,,Specified Premises,指明處所,29/11/2023
YU CHI MING TRADING AS HENG FUNG FOREIGN CURRENCY (RMB) EXCHANGE CO,譽智明 營業名稱 恒豐人民幣找換公司,,,,Specified Premises,指明處所,29/11/2023
YU CHI MING TRADING AS HENG FUNG FOREIGN CURRENCY (RMB) EXCHANGE CO,譽智明 營業名稱 恒豐人民幣找換公司,HENG FUNG FOREIGN CURRENCY (RMB) EXCHANGE CO,恒豐人民幣找換公司,,Specified Premises,指明處所,29/11/2023
YU KA WAI TRADING AS KONG HUI EXCHANGE REMITTANCE CO,尤嘉偉 營業名稱 港滙找換滙款公司,,,,Specified Premises,指明處所,29/11/2023
YU KA WAI TRADING AS KONG HUI EXCHANGE REMITTANCE CO,尤嘉偉 營業名稱 港滙找換滙款公司,KONG HUI EXCHANGE REMITTANCE CO,港滙找換滙款公司,,Specified Premises,指明處所,29/11/2023
YU WENFANG,俞文芳 營業名稱 滙誠人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
YU YEE EXCHANGE LIMITED,如意匯款找換有限公司,YU YEE EXCHANGE LIMITED,如意匯款找換有限公司,,Specified Premises,指明處所,29/11/2023
YUEN WAN SUNG TRADING AS TAKLEE,袁運崧 營業名稱 得利,TOKO TAKLEE,得利士多,,Specified Premises,指明處所,29/11/2023
YUSLIWATI TRADING AS JAVA MART,黃曉玲 營業名稱 恆立東南亞食品店,,,,Specified Premises,指明處所,29/11/2023
ZHANG XIAOQING TRADING AS SHENG YIN EXCHANGE,張曉清 營業名稱 盛銀找換店,,,,Specified Premises,指明處所,29/11/2023
ZHAO HONGYING TRADING AS YING SHUN MONEY EXCHANGE REMITTANCE CO,趙紅英 營業名稱 盈順找換匯款公司,,,,Specified Premises,指明處所,29/11/2023
ZHENXING TECHNOLOGY LIMITED,圳星科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
ZOTA PAYMENTS LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
KHAN ASAF MAHMOOD TRADING AS TOKO REJEKI,,,,,Specified Premises,指明處所,29/11/2023
KIN SHING GROUP LIMITED TRADING AS KIN SHING EXCHANGE,金盛找換,KIN SHING EXCHANGE,金盛找換,,Specified Premises,指明處所,29/11/2023
KIN SHING GROUP LIMITED TRADING AS KIN SHING EXCHANGE,金盛找換,,金盛找換公司,,Specified Premises,指明處所,29/11/2023
KIN SHING GROUP LIMITED TRADING AS KIN SHING EXCHANGE,金盛找換,,城滙外幣找換,,Specified Premises,指明處所,29/11/2023
KIN SHING GROUP LIMITED TRADING AS KIN SHING EXCHANGE,金盛找換,TIN TIN EXCHANGE,天天找換,,Specified Premises,指明處所,29/11/2023
KIN SHING MONEY EXCHANGE CO LTD,堅成找換有限公司,,,,Specified Premises,指明處所,29/11/2023
"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司,KING BUSINESS FOREIGN EXCHANGE COMPANY,建盛業外幣找換公司,,Specified Premises,指明處所,29/11/2023
"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司,KING BUSINESS EXCHANGE AND REMMITANCE COMPANY,建盛業找換匯款公司,,Specified Premises,指明處所,29/11/2023
"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司,KING BUSINESS  EXCHANGE AND REMITTANCE COMPANY,建盛業找換匯款公司,,Specified Premises,指明處所,29/11/2023
"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司,SAM HING HONG FOREIGN CIRRENCY EXCHANGE COMPANY,三興行外幣找換公司,,Specified Premises,指明處所,29/11/2023
"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司,KING NUSINESS EXCHANGE AND REMITTANCE COMPANY,建盛業找換匯款公司,,Specified Premises,指明處所,29/11/2023
"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司,KING BUSINESS EXCHANGE AND REMITTANCE COMPANY,建盛業找換匯款公司,,Specified Premises,指明處所,29/11/2023
"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司,CASSON HONG EXCHANGE AND REMITTANCE COMPANY,加誠行找換匯款公司,,Specified Premises,指明處所,29/11/2023
"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司,KING BUSINESS EXCHANGE AND REMITTANCE COMPANY,建盛業管理有限公司,,Specified Premises,指明處所,29/11/2023
"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司,KING BUSINESS EXCHANGE AND REMITTANCE COMPANY,建盛業找換匯款公司,,Specified Premises,指明處所,29/11/2023
"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司,KING BUSINESS EXCHANGE AND REMITTANCE COMPANY,建盛業找換匯款公司,,Specified Premises,指明處所,29/11/2023
KING ON INTERNATIONAL TRADING LIMITED TRADING AS CHINA & HK RENMINBI EXCHANGE,健安國際貿易有限公司 營業名稱 滙通中港人民幣找換行,CHINA & HK RENMINBI EXCHANGE,滙通中港人民幣找換行,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING WUI (HONG KONG) LIMITED,景滙(香港)有限公司,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KING WUI (HONG KONG) LIMITED TRADING AS KING CHI MONEY EXCHANGE,景滙(香港)有限公司 營業名稱 景緻找換,KING CHI MONEY EXCHANGE,景緻找換,,Specified Premises,指明處所,29/11/2023
KINGDOM HARVEST INC LIMITED TRADING AS WEMIT,御禾有限公司,,,,Correspondence Address,通訊地址,29/11/2023
KONG CITY RMB EXCHANGE LIMITED,港城人民幣找換有限公司,,,,Specified Premises,指明處所,29/11/2023
KONG FUNG CENTURY LIMITED TRADING AS KONG FUNG  EXCHANGE,港豐世紀有限公司 營業名稱 港豐找換,KONG FUNG EXCHANGE,港豐找換,,Specified Premises,指明處所,29/11/2023
KONG FUNG RMB (FOREIGN) EXCHANGE LIMITED TRADING AS GLORY SILVER EXCHANGE,港豐人民幣(外幣)找換有限公司 營業名稱 富銀找換,GLORY SILVER EXCHANGE,富銀找換,,Specified Premises,指明處所,29/11/2023
KONG FUNG RMB EXCHANGE REMITTANCE LIMITED TRADING AS XIN BAO EXCHANGE REMIT,港豐人民幣找換匯款有限公司 營業名稱 信保找換匯款,XIN BAO EXCHANGE REMIT,信保找換匯款,,Specified Premises,指明處所,29/11/2023
KWOK HING INVESTMENT MANAGEMENT LIMITED TRADING AS KWOK HING RMB EXCHANGE SHOP,國興投資管理有限公司 營業名稱 國興人民幣找換行,,家興人民幣找換店,,Specified Premises,指明處所,29/11/2023
KWOK HING INVESTMENT MANAGEMENT LIMITED TRADING AS KWOK HING RMB EXCHANGE SHOP,國興投資管理有限公司 營業名稱 國興人民幣找換行,KWOK HING RENMINBI EXCHANGE SHOP,國興人民幣找換行,,Specified Premises,指明處所,29/11/2023
KWOK HING INVESTMENT MANAGEMENT LIMITED TRADING AS KWOK HING RMB EXCHANGE SHOP,國興投資管理有限公司 營業名稱 國興人民幣找換行,KWOK HING EXCHANGE AND REMITTANCE CO,國興找換匯款公司,,Specified Premises,指明處所,29/11/2023
KWOK HING INVESTMENT MANAGEMENT LIMITED TRADING AS KWOK HING RMB EXCHANGE SHOP,國興投資管理有限公司 營業名稱 國興人民幣找換行,KWOK HING REMINBI EXCHANGE CO.,國興人民幣找換行,,Specified Premises,指明處所,29/11/2023
KWOK HING INVESTMENT MANAGEMENT LIMITED TRADING AS KWOK HING RMB EXCHANGE SHOP,國興投資管理有限公司 營業名稱 國興人民幣找換行,KWOK HING RMB EXCHANGE SHOP,國興人民幣找換行,,Specified Premises,指明處所,29/11/2023
KWOK HING INVESTMENT MANAGEMENT LIMITED TRADING AS KWOK HING RMB EXCHANGE SHOP,國興投資管理有限公司 營業名稱 國興人民幣找換行,,國興找換匯款公司,,Specified Premises,指明處所,29/11/2023
KWOK SAU YING TRADING AS FU SHUN INT'L DEVELOPMENT CO,郭秀英 營業名稱 富信國際發展公司,,,,Specified Premises,指明處所,29/11/2023
KWOK WUI GROUP LIMITED,國匯集團 (中國) 有限公司,,,,Specified Premises,指明處所,29/11/2023
KWOK WUI GROUP LIMITED,國匯集團 (中國) 有限公司,KWOK WUI GROUP LIMITED,國匯集團(中國)有限公司,,Specified Premises,指明處所,29/11/2023
KWOK WUI GROUP LIMITED,國匯集團 (中國) 有限公司,KWOK WUI GROUP LIMITED,國匯集團(中國)有限公司,,Specified Premises,指明處所,29/11/2023
KWOK WUI GROUP LIMITED,國匯集團 (中國) 有限公司,KWOK WUI GROUP LIMITED,國匯集團 (中國) 有限公司,,Specified Premises,指明處所,29/11/2023
KWOK WUI GROUP LIMITED,國匯集團 (中國) 有限公司,KWOK WUI GROUP LIMITED,國匯集團 (中國) 有限公司,,Specified Premises,指明處所,29/11/2023
"LAKALA INTERNATIONAL CO., LIMITED",拉卡拉國際有限公司,,,,Correspondence Address,通訊地址,29/11/2023
LAM CHUN CHOI,林進財 營業名稱 順興人民幣找換店,,,,Specified Premises,指明處所,29/11/2023
LAM KA LOK TRADING AS CHK EXCHANGE,林嘉樂 營業名稱 中港兑換,,,,Specified Premises,指明處所,29/11/2023
LAM KING TRADING AS PRINCE ORGANIZATION PROMOTE CONSULTANT CO.,林競 營業名稱 太子企業推廣顧問公司,PRINCE MONEY EXCHANGE,太子找換,,Specified Premises,指明處所,29/11/2023
LAM KING TRADING AS PRINCE ORGANIZATION PROMOTE CONSULTANT CO.,林競 營業名稱 太子企業推廣顧問公司,PRINCE MONEY EXCHANGE,太子人民幣(外幣)找換店,,Specified Premises,指明處所,29/11/2023
LAM KING TRADING AS PRINCE ORGANIZATION PROMOTE CONSULTANT CO.,林競 營業名稱 太子企業推廣顧問公司,PRINCE MONEY EXCHANGE,太子找換,,Specified Premises,指明處所,29/11/2023
LAM LEE LOI TRADING AS G-THREE CONSULTANTS COMPANY,林利來 營業名稱 哲生顧問公司,,,,Specified Premises,指明處所,29/11/2023
KONG FUNG RMB EXCHANGE REMITTANCE LIMITED TRADING AS XIN BAO EXCHANGE REMIT,港豐人民幣找換匯款有限公司 營業名稱 信保找換匯款,XIN BAO EXCHANGE REMIT,信保找換匯款,,Specified Premises,指明處所,29/11/2023
KONG FUNG TRADE LIMITED TRADING AS KONG FUNG EXCHANGE,港豐商貿有限公司 營業名稱 港豐找換,KONG FUNG EXCHANGE,港豐找換,,Specified Premises,指明處所,29/11/2023
KONG FUNG TRADING HOLDINGS LIMITED TRADING AS GLORY SILVER EXCHANGE REMIT,港豐貿易控股有限公司 營業名稱 富銀找換匯款,GLORY SILVER EXCHANGE REMIT,富銀找換匯款,,Specified Premises,指明處所,29/11/2023
KONG HING HOLDING LIMITED,港興控股有限公司 營業名稱 港興找换,,港興找换,,Specified Premises,指明處所,29/11/2023
KONG HING HOLDING LIMITED,港興控股有限公司 營業名稱 港興找换,,港興,,Specified Premises,指明處所,29/11/2023
KONG HING HOLDING LIMITED,港興控股有限公司 營業名稱 港興找换,,港興人民幣找換,,Specified Premises,指明處所,29/11/2023
KONG HING HOLDING LIMITED,港興控股有限公司 營業名稱 港興找换,,港興人民幣找换,,Specified Premises,指明處所,29/11/2023
KONG KAI MING TRADING AS TOKO SINTA,江啟明 營業名稱 先達東南亞食品,,,,Specified Premises,指明處所,29/11/2023
"KONG TUNG TRADE INTERNATIONAL CO., LIMITED TRADING AS BULLION EXPRESS EXCHANGE",港通貿易國際有限公司 營業名稱 銀通找換,BULLION EXPRESS EXCHANGE,銀通找換,,Specified Premises,指明處所,29/11/2023
KOON FOOK GLOBAL LIMITED TRADING AS KOON FOOK CURRENCY EXCHANGE CO,冠福環球有限公司 營業名稱 冠福人民幣外幣兌匯公司,KOON FOOK CURRENCY EXCHANGE CO,冠福人民幣外幣兌匯公司,,Specified Premises,指明處所,29/11/2023
KOON FOOK GLOBAL LIMITED TRADING AS KOON FOOK CURRENCY EXCHANGE CO,冠福環球有限公司 營業名稱 冠福人民幣外幣兌匯公司,KOON FOOK CURRENCY EXCHANGE CO,冠福人民幣外幣兌匯公司,,Specified Premises,指明處所,29/11/2023
KS ASIA HOLDINGS LIMITED,金盛亞洲控股有限公司,,,,Specified Premises,指明處所,29/11/2023
KS ASIA HOLDINGS LIMITED,金盛亞洲控股有限公司,KS ASIA,,,Specified Premises,指明處所,29/11/2023
"KSHER (HONG KONG) CO., LIMITED",,,,,Correspondence Address,通訊地址,29/11/2023
KUAISHOU (HONGKONG) INFORMATION TECHNOLOGY LIMITED,快收 (香港) 信息技術有限公司,,,,Correspondence Address,通訊地址,29/11/2023
KUSNUL-KOTIMAH TRADING AS TOKO ASIA STATION,亞洲站,,,,Specified Premises,指明處所,29/11/2023
KVB TRADING (HONG KONG) LIMITED,昆侖國際貿易(香港)有限公司,,,,Correspondence Address,通訊地址,29/11/2023
KWAN HUI (ASIA) CO. LIMITED,鈞匯(亞洲)有限公司,,,,Specified Premises,指明處所,29/11/2023
KWOK HING INVESTMENT MANAGEMENT LIMITED TRADING AS KWOK HING RMB EXCHANGE SHOP,國興投資管理有限公司 營業名稱 國興人民幣找換行,KWOK HING RMB EXCHANGE SHOP,國興人民幣找換行,,Specified Premises,指明處所,29/11/2023
KWOK HING INVESTMENT MANAGEMENT LIMITED TRADING AS KWOK HING RMB EXCHANGE SHOP,國興投資管理有限公司 營業名稱 國興人民幣找換行,,國興人民幣找換行,,Specified Premises,指明處所,29/11/2023
FUNG KA MAN TRADING AS RITA SHOP,馮家文,TOKO INDONESIA RITA,,,Specified Premises,指明處所,29/11/2023
FUNG KA MAN TRADING AS RITA SHOP,馮家文,TOKO INDONSIA RITA,,,Specified Premises,指明處所,29/11/2023
FUNG KWUN KUEN TRADING AS BEST WAY,馮冠權 營業名稱 榮信貿易公司,,,,Specified Premises,指明處所,29/11/2023
FUNG SHU KIT TRADING AS QUICKCINDA MONEY EXCHANGE,馮樹杰 營業名稱 速信達人民幣找換,,,,Specified Premises,指明處所,29/11/2023
FUNG SHU KIT TRADING AS QUICKCINDA MONEY EXCHANGE,馮樹杰 營業名稱 速信達人民幣找換,QUICKCINDA MONEY EXCHANGE,速信達人民幣找換,,Specified Premises,指明處所,29/11/2023
FUNG SHU KIT TRADING AS QUICKCINDA MONEY EXCHANGE,馮樹杰 營業名稱 速信達人民幣找換,QUICKCINDA MONEY EXCHANGE,速信達人民幣找換,,Specified Premises,指明處所,29/11/2023
FUNG SHU KIT TRADING AS QUICKCINDA MONEY EXCHANGE,馮樹杰 營業名稱 速信達人民幣找換,AN DA MONEY EXCHANGE,安達人民幣找換,,Specified Premises,指明處所,29/11/2023
FUNG TAK MONEYTT LIMITED,豐達特快匯款有限公司,,,,Specified Premises,指明處所,29/11/2023
FUNG TAK MONEYTT LIMITED,豐達特快匯款有限公司,REGAL MONEY EXCHANGE,富豪找換店,,Specified Premises,指明處所,29/11/2023
"FUYAU INVESTMENT MANAGEMENT (HONG KONG) CO., LIMITED",富佑投資管理(香港)有限公司,HING YIP EXCHANGE AND REMITTANCE COMPANY,興業找換匯款公司,,Specified Premises,指明處所,29/11/2023
"FUYAU INVESTMENT MANAGEMENT (HONG KONG) CO., LIMITED",富佑投資管理(香港)有限公司,FUYAU GROUP EXCHANGE AND REMITTANCE COMPANY,富佑集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"FUYAU INVESTMENT MANAGEMENT (HONG KONG) CO., LIMITED",富佑投資管理(香港)有限公司,TAI ON GROUP EXCHANGE AND REMITTANCE COMPANY,泰安集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"FUYAU INVESTMENT MANAGEMENT (HONG KONG) CO., LIMITED",富佑投資管理(香港)有限公司,HING YIP GROUP FOREIGN CURRENCY EXCHANGE COMPANY,興業集團外幣找換公司,,Specified Premises,指明處所,29/11/2023
"FUYAU INVESTMENT MANAGEMENT (HONG KONG) CO., LIMITED",富佑投資管理(香港)有限公司,SAM HING HONG FOREIGN CURRENCY EXCHANGE COMPANY,三興行外幣找換公司,,Specified Premises,指明處所,29/11/2023
"FUYAU INVESTMENT MANAGEMENT (HONG KONG) CO., LIMITED",富佑投資管理(香港)有限公司,SAM HING GROUP FOREIGN CURRENCY EXCHANGE COMPANY,三興集團外幣找換公司,,Specified Premises,指明處所,29/11/2023
"FUYAU INVESTMENT MANAGEMENT (HONG KONG) CO., LIMITED",富佑投資管理(香港)有限公司,KA HING GROUP EXCHANGE AND REMITTANCE COMPANY,加興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"FUYAU INVESTMENT MANAGEMENT (HONG KONG) CO., LIMITED",富佑投資管理(香港)有限公司,SUN HING GROUP EXCHANGE AND REMITTANCE COMPANY,新興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"FUYAU INVESTMENT MANAGEMENT (HONG KONG) CO., LIMITED",富佑投資管理(香港)有限公司,KA HING GROUP EXCHANGE AND REMITTANCE COMPANY,加興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
GAIN GOLD ASIA LIMITED,盈金亞洲有限公司,,盈金速匯,,Specified Premises,指明處所,29/11/2023
GAIN GOLD ASIA LIMITED,盈金亞洲有限公司,GAIN GOLD MONEY EXCHANGE,盈金找換,,Specified Premises,指明處所,29/11/2023
GAIN GOLD ASIA LIMITED,盈金亞洲有限公司,GAIN GOLD MONEY EXCHANGE,盈金找換,,Specified Premises,指明處所,29/11/2023
GC PARTNERS (HONG KONG) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
GCC EXCHANGE PRIVATE LIMITED,,,,,Specified Premises,指明處所,29/11/2023
GEA LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
GEOSWIFT PAYMENT TECHNOLOGY LIMITED,匯元通支付科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
GEOSWIFT SOLUTION LIMITED,匯元通金融服務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
GLOBAL CURRENCY EXCHANGE LIMITED TRADING AS GLOBAL EXCHANGE,環球外幣找換有限公司 營業名稱 環球找換,GLOBAL EXCHANGE,環球找換,,Specified Premises,指明處所,29/11/2023
GLOBAL E-PAYMENT LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL EXCHANGE HONG KONG LIMITED,,GLOBAL EXCHANGE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOBAL PAYMENT E-COMMERCE LIMITED,環球通匯電子商務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"GLOBAL WEALTH TRADING CO., LIMITED TRADING AS GLOBAL WEALTH EXCHANGE",環盛貿易有限公司 營業名稱 環盛找換,GLOBAL WEALTH EXCHANGE,環盛找換,,Specified Premises,指明處所,29/11/2023
GLOBAL-HK SOLUTIONS LIMITED,環聯支付有限公司,,,,Correspondence Address,通訊地址,29/11/2023
GLOBE ACCESS LIMITED,全球通有限公司,,,,Specified Premises,指明處所,29/11/2023
GLOBE ACCESS LIMITED,全球通有限公司,GLOBE ACCESS LIMITED,全球通有限公司,,Specified Premises,指明處所,29/11/2023
GLOBENET DROID LIMITED TRADING AS GLOBENET EXCHANGE,,,,,Specified Premises,指明處所,29/11/2023
GLOBENET DROID LIMITED TRADING AS GLOBENET EXCHANGE,,GLOBENET DROID LIMITED,,,Specified Premises,指明處所,29/11/2023
GLOCASH PAYMENT HK LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
GLOFORTUNE COMPANY LIMITED,智富恒通有限公司,,,,Correspondence Address,通訊地址,29/11/2023
GME LIMITED,惠捷找換有限公司,GME (LAN FONG ROAD BRANCH),惠捷找換(蘭芳道分行),,Specified Premises,指明處所,29/11/2023
GOGOTRANX HONG KONG LIMITED,酷轉香港有限公司,,,,Correspondence Address,通訊地址,29/11/2023
GOLD ACCESS HK LIMITED,,,,,Specified Premises,指明處所,29/11/2023
GOLD TOWN INVESTMENT LIMITED TRADING AS GOLD TOWN MONEY CHANGE,金塘匯投資有限公司 營業名稱 金塘匯找換店,GOLD TOWN MONEY CHANGE,金塘匯找換店,,Specified Premises,指明處所,29/11/2023
GOLD TOWN INVESTMENT LIMITED TRADING AS GOLD TOWN MONEY CHANGE,金塘匯投資有限公司 營業名稱 金塘匯找換店,GOLD TOWN MONEY EXCHANGE,金塘匯找換店,,Specified Premises,指明處所,29/11/2023
GOLD TOWN INVESTMENT LIMITED TRADING AS GOLD TOWN MONEY CHANGE,金塘匯投資有限公司 營業名稱 金塘匯找換店,GOLD TOWN MONEY EXCHANGE,金塘匯找换店,,Specified Premises,指明處所,29/11/2023
GOLD TOWN INVESTMENT LIMITED TRADING AS GOLD TOWN MONEY CHANGE,金塘匯投資有限公司 營業名稱 金塘匯找換店,GOLD TOWN MONEY EXCHANGE,金塘匯找换店,,Specified Premises,指明處所,29/11/2023
"GOLDEN CREDIT INVESTMENT DEVELOPMENT (HK) CO., LIMITED",金信投資發展(香港)有限公司,SAM HING GROUP FOREIGN EXCHANGE COMPANY,三興集團外幣找換公司,,Specified Premises,指明處所,29/11/2023
"GOLDEN CREDIT INVESTMENT DEVELOPMENT (HK) CO., LIMITED",金信投資發展(香港)有限公司,,加興找換匯款外幣零售中心,,Specified Premises,指明處所,29/11/2023
"GOLDEN CREDIT INVESTMENT DEVELOPMENT (HK) CO., LIMITED",金信投資發展(香港)有限公司,HANG FUNG GROUP EXCHANGE AND REMITTANCE COMPANY,恆豐集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
