MLR_No,Period,Name_Eng,Name_Chi,Remarks
3565,As at 31 October 2023,International Star River Company Limited,星際河國際有限公司,W
3570,As at 31 October 2023,Lucky Joy Finance Limited,喜喜財務有限公司,W
3573,As at 31 October 2023,New Gen Capital Limited,鑫生資本有限公司,W
3574,As at 31 October 2023,Real Oriental Supreme (HK) Limited,,W
3590,As at 31 October 2023,United Finance & Exports Limited,,W
3628,As at 31 October 2023,Madalon Financial Limited,中滙寶萊信貸有限公司,W
3637,As at 31 October 2023,Charm Dragon Credit Financial Limited,佳龍授信有限公司,W
3644,As at 31 October 2023,Treasure Bowl Company Limited,聚寶盤有限公司,W
3649,As at 31 October 2023,EC Mortgage Referral Company Limited,按揭易有限公司,W
3656,As at 31 October 2023,Kola Finance Limited,高麗財務有限公司,W
3657,As at 31 October 2023,Fast Credit Limited,快財務有限公司,D
3666,As at 31 October 2023,Standard Perpetual Securities (HK) Limited,標準盛豐證券（香港）有限公司,W
3673,As at 31 October 2023,BlauStein Asia Limited,布勞斯坦 有限公司,W
3676,As at 31 October 2023,Boen Capital Limited,邦溫資本有限公司,W
3684,As at 31 October 2023,Jin Hui Credit Company Limited,金匯信貸財務有限公司,W
3695,As at 31 October 2023,Crown International Finance Corp. Limited,皇冠金融控股有限公司,W
3713,As at 31 October 2023,Global Partners Capital Limited,,W
3731,As at 31 October 2023,Royal Finance Limited,皇御信貸有限公司,W
3748,As at 31 October 2023,Keysworth Finance Company Limited,建業財務有限公司,W
3752,As at 31 October 2023,UK Credit Limited,,W
3759,As at 31 October 2023,Travel Expert Asset Management Limited,專業旅運資產管理有限公司,W
3775,As at 31 October 2023,Assurance Finance Services Limited,融保金融服務有限公司,W
3778,As at 31 October 2023,P & W Credit Services Company Limited,盈富信貸有限公司,W
3781,As at 31 October 2023,Unionism Finance Limited,聯富財務有限公司,W
3798,As at 31 October 2023,UPS Capital Insurance Brokers Limited,,W
3800,As at 31 October 2023,Wise Credit Limited,智選財務有限公司,W
3813,As at 31 October 2023,Gold Victory Corporation Limited,金凱旋有限公司,W
3820,As at 31 October 2023,Plotio Finance Credit Limited,百利好財務信貸有限公司,W
3823,As at 31 October 2023,Rainbow Wealth Finance Limited,億輝財務有限公司,W
3827,As at 31 October 2023,Quick Loan Finance Limited,爽快財務有限公司,W
3833,As at 31 October 2023,Supreme Financial Consultant Limited,鉅鑄財務顧問有限公司,W
3840,As at 31 October 2023,HPC International Limited,陽光科技國際有限公司,W
3854,As at 31 October 2023,18 Finance Credit Company Limited,理財18信貸有限公司,W
3861,As at 31 October 2023,ECL Finance Asia Limited,金業信貸亞洲有限公司,W
3873,As at 31 October 2023,Lucky Capital (Hong Kong) Limited,吉祥資本有限公司,W
3879,As at 31 October 2023,Sea Faith Finance Limited,海訊財務有限公司,W
3884,As at 31 October 2023,Harvest Financial Credit Limited,裕豐授信財務有限公司,D
3905,As at 31 October 2023,Credit Major Company Limited,美捷信貸有限公司,W
3920,As at 31 October 2023,"Winning Club Finance Co., Limited",永利會財務有限公司,W
3921,As at 31 October 2023,China Vantage Finance Limited,盈華財務有限公司,W
3932,As at 31 October 2023,Tandem Investment Company Limited,天騰投資有限公司,W
3934,As at 31 October 2023,Kongson Financial Consultant Company Limited,港信金融顧問有限公司,W
3941,As at 31 October 2023,Ecfinance Worldwide Company Limited,滙租環球信貸有限公司,W
3942,As at 31 October 2023,TML Finance Limited,滙宏信貸有限公司,W
3957,As at 31 October 2023,Maoming Business Finance Limited,茂商小額貸款有限公司,W
3966,As at 31 October 2023,Clever Ocean Finance Limited,惠海財務有限公司,W
3974,As at 31 October 2023,Century Finance Limited,世紀信貸有限公司,W
3981,As at 31 October 2023,Wealth Credit (HK) Limited,創富信貸有限公司,W
3996,As at 31 October 2023,Golden Pacific Investment Services Limited,高泊投資服務有限公司,W
4005,As at 31 October 2023,On Chit Financial Hong Kong Limited,安捷財務香港有限公司,W
4016,As at 31 October 2023,Sinosky Finance Limited,華天財務有限公司,W
4079,As at 31 October 2023,Me Finance Company Limited,亨達國際財務有限公司,W
4081,As at 31 October 2023,HKT Payment Limited,,W
4099,As at 31 October 2023,Miracle Sourcing Limited,,W
4104,As at 31 October 2023,AASTOCKS.com Limited,阿斯達克網絡信息有限公司,W
4106,As at 31 October 2023,Sinotrans (HK) Shipping Limited,中國外運(香港)船務有限公司,W
4115,As at 31 October 2023,74 Limited,七十四辦事處有限公司,W
4119,As at 31 October 2023,Greenland Holdings Limited,嘉南集團有限公司,W
4131,As at 31 October 2023,Profit Tone Finance Limited,利盈財務有限公司,W
4141,As at 31 October 2023,Profit Earn Finance Limited,利益財務按揭有限公司,W
4142,As at 31 October 2023,Rich Profit Finance Limited,俊達財務有限公司,W
4147,As at 31 October 2023,Grandwill International Investment Limited,宏志國際投資有限公司,W
4149,As at 31 October 2023,Whiteknight Investment Holdings Limited,,W
4152,As at 31 October 2023,"Equities First Holdings, LLC",,W
4164,As at 31 October 2023,Jet Rich Finance Limited,快匯財務有限公司,W
4171,As at 31 October 2023,Profit Loy Finance Limited,利來財富有限公司,W
4176,As at 31 October 2023,World Credit Financing (Group) Limited,世界信貸融資(集團)有限公司,W
4177,As at 31 October 2023,Bp Finance Limited,寶橋財務有限公司,W
4181,As at 31 October 2023,Meg-Star International Finance Limited,鉅星國際財務有限公司,W
4185,As at 31 October 2023,Smart Development Co. Limited,俊泰發展有限公司,W
4189,As at 31 October 2023,Pay-Loft Financing Limited,,W
4201,As at 31 October 2023,Qianhai (H.K.) Finance Company Limited,前海(香港)信貸有限公司,W
4214,As at 31 October 2023,Emoney Finance Limited,通融信貸有限公司,W
4227,As at 31 October 2023,Keen Credit Company Limited,健貸財務有限公司,W
4230,As at 31 October 2023,Capital King Finance Limited,世京財務有限公司,W
4238,As at 31 October 2023,Seedpod Finance Limited,,W
4255,As at 31 October 2023,All Rich Finance Limited,眾富財務有限公司,W
4258,As at 31 October 2023,IP Exchange Limited,,W
4270,As at 31 October 2023,King Finance Limited,京華財務有限公司,W
4281,As at 31 October 2023,One Finance Limited,,W
4332,As at 31 October 2023,Wisdom Source Asset Management (HK) Co. Limited,智慧源資產管理(香港)有限公司,W
4333,As at 31 October 2023,Pay Universe Capital Limited,,W
4341,As at 31 October 2023,Asia Credit and Finance (Hong Kong) Limited,,W
4356,As at 31 October 2023,Billionaire Financial Limited,億濠財務有限公司,W
4366,As at 31 October 2023,MSFG Finance Limited,啟明星信貸有限公司,W
4402,As at 31 October 2023,Grand Forever Investment Limited,恒浩投資有限公司,W
4407,As at 31 October 2023,Macroscopic Universe International Enterprise Limited,宏宇實業投資有限公司,W
4409,As at 31 October 2023,Energy Investments (Hong Kong) Limited,能源投資(香港)有限公司,W
4415,As at 31 October 2023,Unicorn Content International Enterprise Limited,麒豐國際實業有限公司,W
4416,As at 31 October 2023,Forwin Financial Group (Hong Kong) Limited,富榮金融集團(香港)有限公司,W
4419,As at 31 October 2023,Blessing Award Limited,捷灃有限公司,W
4426,As at 31 October 2023,Fortune Forever Finance Limited,恆順財務有限公司,W
4443,As at 31 October 2023,South China Secured Lending Limited,南華抵押貸款有限公司,W
4454,As at 31 October 2023,Wunder Global Credit Limited,弘匯信貸有限公司,W
4457,As at 31 October 2023,Trillion Well International Finance Company Limited,富威國際財務有限公司,W
4470,As at 31 October 2023,Best Eternity (Asia) Limited,創恒(亞洲)有限公司,W
4483,As at 31 October 2023,eFast Consulting Limited,易快顧問有限公司,W
4493,As at 31 October 2023,Vanquish Solutions Limited,,W
4554,As at 31 October 2023,"Kwoon Chung Motors Company, Limited",冠忠遊覽車有限公司,W
4559,As at 31 October 2023,One China Finance Limited (MLR 4559),一中財務有限公司,W
4565,As at 31 October 2023,Solum Asia Limited,,W
4577,As at 31 October 2023,China Travel Logistics And Trading Hong Kong Limited,香港中旅物流貿易有限公司,W
4578,As at 31 October 2023,Swallow Kingdom Capital Limited,燕國資本有限公司,W
4580,As at 31 October 2023,Yau On Pawn Shop Limited,友安押有限公司,W
4641,As at 31 October 2023,Lxlend Limited,,W
4646,As at 31 October 2023,Alberta Finance Limited,亞伯達財務有限公司,W
4654,As at 31 October 2023,Ching Lee Engineering Limited,正利工程有限公司,W
4662,As at 31 October 2023,Max Profit Development Limited,富潤發展有限公司,W
4664,As at 31 October 2023,Manor Credit Investment Limited,鳴宇信貸投資有限公司,W
4686,As at 31 October 2023,"Financial Investment (HK) Co., Limited",財源投資(香港)有限公司,W
4699,As at 31 October 2023,Worldwide Bullion Limited,金域環球有限公司,W
4706,As at 31 October 2023,Sun Son Group Limited,太陽之子有限公司,W
4711,As at 31 October 2023,Hong Kong Credit Finance Limited (MLR 4711),香港信用財務有限公司,W
4720,As at 31 October 2023,Haitian Hydropower (HK) Limited,海天水電(香港)有限公司,W
4724,As at 31 October 2023,Afflux Asset Management Limited,上高資產管理有限公司,W
4730,As at 31 October 2023,Cheung Wo Development Limited,長和聯合發展有限公司,W
4734,As at 31 October 2023,Aurora Logistics Capital Assurance Limited,旭日物流融資擔保有限公司,W
4738,As at 31 October 2023,Rans Finance (HK) Limited,,W
4744,As at 31 October 2023,Top Honest Finance Limited,高誠財務有限公司,W
4799,As at 31 October 2023,Tamar Hong Kong Limited,駿驥香港有限公司,W
4808,As at 31 October 2023,Nexen (Hong Kong) Limited,利臣(香港)有限公司,W
4835,As at 31 October 2023,"Cheuk Li Co., Limited",焯麗有限公司,W
4841,As at 31 October 2023,Robin Property Credit Limited,羅賓漢物業信貸有限公司,W
4843,As at 31 October 2023,Hong Kong LY Credit Limited,香港魯銀信貸有限公司,W
4852,As at 31 October 2023,CMG Investment & Finance Limited,勇利創投融資有限公司,W
4853,As at 31 October 2023,Hualu Leasing (Hong Kong) Limited,華魯租賃(香港)有限公司,W
4865,As at 31 October 2023,CIDT Financial Limited,大田財務有限公司,W
4867,As at 31 October 2023,EC Money Limited,,W
4873,As at 31 October 2023,Sherpas Group Limited,,W
4904,As at 31 October 2023,Moneyplus Financial Co. Limited,晉才財務有限公司,W
4915,As at 31 October 2023,Solomon Securities (Hong Kong) Limited,所羅門證券(香港)有限公司,W
4920,As at 31 October 2023,Huijun (International) Holdings Limited,匯駿(國際)控股有限公司,W
4925,As at 31 October 2023,itouzi Hongkong Limited,,W
4933,As at 31 October 2023,Honest Gain Limited,安利有限公司,W
4934,As at 31 October 2023,Sinotime Development Limited,永順泰發展有限公司,W
4953,As at 31 October 2023,Harvest Luck International Development Limited,盛福國際發展有限公司,W
4959,As at 31 October 2023,Xin Jie Finance Limited,信捷財務有限公司,W
4965,As at 31 October 2023,Fubang International Finance Group Limited,富邦國際金融集團有限公司,W
4981,As at 31 October 2023,Ideal Financial Limited,理想財務有限公司,W
5002,As at 31 October 2023,"Reignwood Credit Co., Limited",華彬信貸有限公司,W
5003,As at 31 October 2023,Yi Feng Finance Limited,翊豐財務有限公司,W
5017,As at 31 October 2023,Golden Harvest Finance Limited,金盛隆財務有限公司,W
5032,As at 31 October 2023,Target Finance Limited,泰達信貸有限公司,W
5063,As at 31 October 2023,Towering Technology Limited,,W
5082,As at 31 October 2023,Carrington Capital Limited,,W
5092,As at 31 October 2023,Kilmorey Capital Finance Limited,金力資本財務有限公司,W
5123,As at 31 October 2023,MD Services Limited,,W
5158,As at 31 October 2023,Aurum Pacific Financial (HK) Group Limited,奧栢金融(香港)集團有限公司,W
5159,As at 31 October 2023,Hexin Consultancy Service Company Limited,和信諮詢服務有限公司,W
5168,As at 31 October 2023,Thing On Financial Group Limited,晉安金融集團有限公司,W
5175,As at 31 October 2023,"Yintaitong Group Co., Limited",銀泰通集團有限公司,W
5185,As at 31 October 2023,"Xincheng International (Hong Kong) Co., Limited",信成國際(香港)有限公司,W
5186,As at 31 October 2023,Kirin Jade Holdings Limited,玉麟控股有限公司,W
5203,As at 31 October 2023,Liteway Finance (Hong Kong) Limited,利惠財務(香港)有限公司,W
5209,As at 31 October 2023,Welab Sky Limited,,W
5215,As at 31 October 2023,Wonderful Finance Company Limited,宏達財務有限公司,W
5216,As at 31 October 2023,Locker Golden Limited,,W
5256,As at 31 October 2023,Grand Sky Credit Company Limited,宏天信貸有限公司,W
5258,As at 31 October 2023,Blessing Peak Finance Limited,祐峰財務有限公司,W
5292,As at 31 October 2023,One2Paid Limited,雲到付有限公司,W
5294,As at 31 October 2023,Bright Honor Business Management Company Limited,盈輝商業管理有限公司,W
5312,As at 31 October 2023,Global Venture Asset Management Limited,環球創業資產管理有限公司,W
5331,As at 31 October 2023,Great Wall International Finance Limited,長城國際金融有限公司,W
5336,As at 31 October 2023,Nation Wealth Capital Limited,國裕資本有限公司,W
5339,As at 31 October 2023,Soar Finance Limited ,翱翔金融有限公司,W
5344,As at 31 October 2023,Newport Development International Limited,新港發展國際有限公司,W
5357,As at 31 October 2023,Pong Chun Group (Holding) Company Limited,邦俊集團(控股)有限公司,W
5374,As at 31 October 2023,EBID Finance Limited ,易拍財務有限公司,W
5375,As at 31 October 2023,CECEP (Hong Kong) Treasury Management Company Limited,中國節能環保(香港)財資管理有限公司,W
5376,As at 31 October 2023,Poly Capital Finance Limited,保興資本融資有限公司,W
5394,As at 31 October 2023,Coleman Fin and Mortgage Company,信堯財務按揭公司,W
5407,As at 31 October 2023,Chengtong Trading (International) Limited,誠通貿易(國際)有限公司,W
5409,As at 31 October 2023,Goldwind Finance Limited,金灃財務有限公司,W
5474,As at 31 October 2023,GoGo Finance,高高易財務,W
5485,As at 31 October 2023,Foga Tech Limited,,W
5499,As at 31 October 2023,Trend Silver Enterprises Limited,沿訊企業有限公司,W
5521,As at 31 October 2023,iPayAsia Limited,,W
5541,As at 31 October 2023,AT Services Limited,,W
5545,As at 31 October 2023,Morning Star China Company Limited,星晨中國有限公司,W
5647,As at 31 October 2023,Lenovo Finance H.K. Limited,聯想金服(香港)有限公司,W
5670,As at 31 October 2023,Asia One Global Credit Limited ,亞匯環球信貸有限公司,W
5715,As at 31 October 2023,Fortunate AM Limited,,W
5733,As at 31 October 2023,Kong Fung Credit Limited,港豐財務有限公司,W
5734,As at 31 October 2023,Inter Consortium Holdings Limited,華滙控股有限公司,W
5756,As at 31 October 2023,Standard Financial Limited ,標準信貸有限公司,W
5784,As at 31 October 2023,Fortune Credit HK Limited,宏鑫信貸(香港)有限公司,W
5788,As at 31 October 2023,Bright Food Hong Kong Limited,,W
5825,As at 31 October 2023,Incredible Finance Limited,,W
5831,As at 31 October 2023,Benvell Energy Finance Limited,,W
5833,As at 31 October 2023,Millennials Mind Limited,玖零概念有限公司,W
5847,As at 31 October 2023,Morgan Credit Limited,摩根信貸有限公司,W
5859,As at 31 October 2023,Malca-Amit Financing Solutions Limited,,W
5871,As at 31 October 2023,"Mann, Ian Nicholas",,W
5875,As at 31 October 2023,Buttonwood Protocol Limited,,W
5892,As at 31 October 2023,Zillion Credit Limited,尚林信貸有限公司,W
5901,As at 31 October 2023,Mahattan Fortune Company Limited,萬泰財富有限公司,W
5906,As at 31 October 2023,Gogo Credit Limited,領高信貸有限公司,W
5915,As at 31 October 2023,Jillion Credit Limited,億豐集團信貸有限公司,W
5932,As at 31 October 2023,Amber Electronics Limited,,W
5979,As at 31 October 2023,88M Global Limited,88寰宇有限公司,W
5991,As at 31 October 2023,Silver Cypress Capital Limited,銀栢資本有限公司,W
5995,As at 31 October 2023,MSC-Tech Investment Holdings (HK) Limited,,W
6030,As at 31 October 2023,Pro Finance Company Limited,萬和財務有限公司,W
6031,As at 31 October 2023,Gold Marco Limited,金馬高有限公司,W
6032,As at 31 October 2023,Huge Shine Holding Development Limited,恒信控股發展有限公司,W
6072,As at 31 October 2023,De Gennes Limited,鴻贇有限公司,W
6079,As at 31 October 2023,ECE Finance Limited,易益信貸有限公司,W
6109,As at 31 October 2023,JP Associates Limited,象石集團有限公司,W
6130,As at 31 October 2023,Chung Luen Pawnshop Limited,中聯押業有限公司,W
6171,As at 31 October 2023,All Link Credit Limited,信騰財務有限公司,W
6195,As at 31 October 2023,Goldlink Finance Limited,金聯財務有限公司,W
6197,As at 31 October 2023,1881 Credit Limited,1881 信貸有限公司,W
6241,As at 31 October 2023,PAK TO Development Co Limited,百圖發展有限公司,W
6249,As at 31 October 2023,Anlly Financial Technology Limited,安立金融科技有限公司,W
6287,As at 31 October 2023,You Credit Limited,譽財通信貸有限公司,W
6297,As at 31 October 2023,Tun Kei Credit Limited,敦基按揭信貸有限公司,W
6310,As at 31 October 2023,Deluxe Linkage Limited,盛領有限公司,W
6318,As at 31 October 2023,Advanced Action Investment Limited,前駿投資有限公司,W
6338,As at 31 October 2023,Infinity Credit Group Limited,源源信用集團有限公司,W
6346,As at 31 October 2023,Easycome Capital Limited,易來資本有限公司,W
6355,As at 31 October 2023,Neuroncredit HK Limited,,W
6372,As at 31 October 2023,Fortune Financing Company Limited,好喆財務有限公司,W
6388,As at 31 October 2023,Fortune World Capital Limited,幸錢國際資本企業有限公司,W
6389,As at 31 October 2023,UB Finance (HK) Limited,聯銀財務(香港)有限公司,W
6410,As at 31 October 2023,L & Z Capital Limited,中大資本有限公司,W
6445,As at 31 October 2023,Honorius Financial Management Limited,臻誠資本策略有限公司,W
