Period,MLR_No,Licensee_Name_Eng,Licensee_Name_Chi,Hotline,Third_Party_Eng,Third_Party_Chi,Third_Party_Addr_Eng,Third_Party_Addr_Chi,Reg_Date
As at 12:00 noon of 3 January 2022 ,3787,Easy Dollars Limited,理財易有限公司,2360 4888,Digital Resources Group Limited,資源數碼有限公司,"Rm A, 18/F, Lucky Plaza, 312-321 Lockhart Road, Wanchai, HK",,19/6/2020
As at 12:00 noon of 3 January 2022 ,3787,Easy Dollars Limited,理財易有限公司,2360 4888,OI WAH ENTERPRISES LIMITED ,靄華企業有限公司,"Rm 2302-2303, 23/F, Kwan Chart Tower, 6 Tonnochy Road, Wanchai, HK",,12/11/2020
As at 12:00 noon of 3 January 2022 ,3787,Easy Dollars Limited,理財易有限公司,2360 4888,Matt's Standard Company Limited ,名氏專業顧問有限公司,"No.2, G/F., Bamboo Court, No. 81 Castle Peak Road, San Hui, Tuen Mun, N.T., Hong Kong",,4/5/2021
As at 12:00 noon of 3 January 2022 ,3787,Easy Dollars Limited,理財易有限公司,2360 4888,HopesFung (Hong Kong-Asia) Limited ,灝豐香港亞洲有限公司,,香港 九龍 旺角 亞皆老街109號 皆旺商業大廈22樓05-06室,29/6/2021
As at 12:00 noon of 3 January 2022 ,3787,Easy Dollars Limited,理財易有限公司,2360 4888,Gutsy Mortgage Accounting Affairs Limited,吉時按揭會計事務所有限公司,"Unit B25, 5th Floor, East Sun Industrial Building, No.20 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong",,6/8/2021
As at 12:00 noon of 3 January 2022 ,3787,Easy Dollars Limited,理財易有限公司,2360 4888,PROFESSIONAL (INT'L) ASSET MANAGEMENT COMPANY LIMITED ,滙信(國際)資產管理有限公司,"Room A09, 19/F., Fortune Commercial Building, No.362, Sha Tsui Road, Tsuen Wan, N.T.",,9/12/2021
As at 12:00 noon of 3 January 2022 ,6095,Easy Facility Limited,易融貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,EASY GROUP WEALTH MANAGEMENT LIMITED ,易財富管理有限公司,"Office D-F, 23/F, No.8 Hart Avenue, Tsim Sha Tsui, Kowloon.",,1/12/2016
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,LEADING FIGURE PROPERTY AGENCY LIMITED ,領圖地產代理有限公司,"Flat 1901, 19/F, Prosperity Place, No.6 Shing Yip Street, Kwun Tong, KL",,10/5/2017
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,EC Mortgage Referral Company Limited ,按揭易有限公司,"Rm 1507, 15/F, Star House, 3 Salisbury Road, Tsim Sha Tsui",,5/6/2017
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,EASY PROPERTY SERVICES LIMITED ,置業易物業代理有限公司,"Unit A, 6/F, Century House, 3-4 Hanoi Road, Tsim Sha Tsui, KL",,5/6/2017
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,ARCH Gallery Limited ,門藝廊有限公司,"Shop 14, G/F, Golden Court, 22-52 Electric Road, Tin Hau, HK",,14/6/2017
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,Wing Fu Property Agent Limited ,永富物業代理有限公司,"Shop K4, G/F Lai Wan Bldg, 33-35 Shaukeiwan Road, Sai Wan Ho, HK",,1/12/2017
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,SIMPLE CREDIT LIMITED ,簡易信貸有限公司,"Flat/Rm 902A1, 9/F, Fourseas Building, No. 208-212 Nathan Road, Kowloon",,6/2/2018
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,Star Music Hong Kong Company,,,新界葵涌葵豐街18-26號永康工業大廈13樓D室,15/2/2018
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,Chan Man Ho Evil,,"Flat C, 36/F, Block 1, Aria, 51 Fung Shing Street, Ngau Chi Wan, Kln",,27/2/2018
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,Smart Wealth Management Corporate Limited ,智信財富策劃管理有限公司,"Flat A5, 1/F., Mackenny Centre, 660-662 Castle Peak Road, Cheung Sha Wan, Kowloon",,7/3/2018
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,DR. MORTGAGE BROKER LIMITED ,樓按博士按揭經紀有限公司,"15/F, Katherine House, Nos. 53-55 Chatham Road South, Kowloon",,20/4/2018
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,GATTACA COMPANY LIMITED ,嘉恩悅有限公司,Unit 1603 16/F Tower 1 Silvercord 30 Canton Road Tsim Sha Tsui KL,,14/6/2018
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,Thornton Consultants,,"Flat/Rm 5, 9/F, Lancashire Centre, 361 Shau Kei Wan Road, Shau Kei Wan",,12/7/2018
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,FORTUNE ASSETS SERVICES LIMITED ,恒富資產服務有限公司,"Rm 2303-8, 23/F, Laford Centre, 838 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",,15/11/2018
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,TRUSTY CENTURY LIMITED ,信用世紀有限公司,"Office Unit 1101, 11th Floor, Ginza Plaza, No. 2A Sai Yeung Choi Street South, Kowloon",,27/12/2018
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,Tyee Securities Limited ,天易證券有限公司,"Flat/Rm 2102, 21/F, Prosperity Tower, 39 Queen's Road Central, Central, Hong Kong",,10/7/2019
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,Best Leader Consultancy Limited ,佳領專業顧問有限公司,,觀塘巧明街111-113號富利廣場21樓2108室,11/7/2019
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,YANG FAN CORPORATE PLANNING LIMITED ,揚帆企業策劃有限公司,"Rm 1202, 12/F, Wan Chai Comm. Center, 194-204 Johnston Road, Wan Chai, Hong Kong",,30/10/2019
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,BF PROPERTIES ADVISORS LIMITED ,永豐置業諮詢有限公司,"Flat/Rm 1405, 14/F, Kenbo Commercial Building, 335-339 Queen's Road West, Hong Kong",,5/12/2019
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,MIGO CORPORATION LIMITED ,美高行有限公司,"Rm 404,Yu To Sang Building, 37 Queen's Road Central, Central, HK",,10/6/2020
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,Digital Resources Group Limited,資源數碼有限公司,"Rm A, 18/F, Lucky Plaza, 312-321 Lockhart Road, Wanchai, HK",,19/6/2020
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,OI WAH ENTERPRISES LIMITED ,靄華企業有限公司,"Rm 2302-2303, 23/F, Kwan Chart Tower, 6 Tonnochy Road, Wanchai, HK",,12/11/2020
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,Matt's Standard Company Limited ,名氏專業顧問有限公司,"No.2, G/F., Bamboo Court, No. 81 Castle Peak Road, San Hui, Tuen Mun, N.T., Hong Kong",,4/5/2021
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,HopesFung (Hong Kong-Asia) Limited ,灝豐香港亞洲有限公司,,香港 九龍 旺角 亞皆老街109號 皆旺商業大廈22樓05-06室,29/6/2021
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,Gutsy Mortgage Accounting Affairs Limited,吉時按揭會計事務所有限公司,"Unit B25, 5th Floor, East Sun Industrial Building, No.20 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong",,6/8/2021
As at 12:00 noon of 3 January 2022 ,3217,Easy Finance Limited,貸款易有限公司,2360 4888,PROFESSIONAL (INT'L) ASSET MANAGEMENT COMPANY LIMITED ,滙信(國際)資產管理有限公司,"Room A09, 19/F., Fortune Commercial Building, No.362, Sha Tsui Road, Tsuen Wan, N.T.",,9/12/2021
As at 12:00 noon of 3 January 2022 ,4215,Easy Financial Support Limited,至易借財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,2649,Easy Fortune Property Limited,順富地產有限公司,2116 1038,Kapital Oasis Management Limited ,博達策劃管理有限公司,"FLAT/RM E, 5/F, CNT TOWER, 338 HENNESSY ROAD, WANCHAI, H.K.",,19/1/2017
As at 12:00 noon of 3 January 2022 ,2649,Easy Fortune Property Limited,順富地產有限公司,2851 4899,LUCKY WISE DEVELOPMENT LIMITED,智運按揭轉介有限公司,"ROOMS 2510-2518, 25/F, SHUI ON CENTRE, 6-8 HARBOUR ROAD WANCHAI, HK",,31/3/2021
As at 12:00 noon of 3 January 2022 ,2649,Easy Fortune Property Limited,順富地產有限公司,2851 4899,PROFIT GAIN FINANCIAL CONSULTANCY CO,盈進商務理財顧問公司,"Flat/Rm B7 4/F, Ho King Commercial Centre, 2-6 Fa Yuen Street, Mongkok, KL",,19/8/2021
As at 12:00 noon of 3 January 2022 ,5717,Easy Funding (HK) Limited,快融易(香港)有限公司,6652 0268,He She It Finance Company Limited,他她它信貸有限公司,"FLAT/RM F, COS CENTRE, 56 TSUN YIP STREET, KWUN TONG",,4/8/2021
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,Chan Man Ho Evil,,"Flat C, 36/F, Block 1, Aria, 51 Fung Shing Street, Ngau Chi Wan, Kln",,8/3/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,Star Music Hong Kong Company,,,新界葵涌葵豐街18-26號永康工業大廈13樓D室,8/3/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,EASY GROUP WEALTH MANAGEMENT LIMITED ,易財富管理有限公司,"Office D-F, 23/F, No.8 Hart Avenue, Tsim Sha Tsui, Kln",,8/3/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,LEADING FIGURE PROPERTY AGENCY LIMITED ,領圖地產代理有限公司,"Flat 1901, 19/F, Prosperity Place, No.6 Shing Yip Street, Kwun Tong, KL",,8/3/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,ARCH Gallery Limited ,門藝廊有限公司,"Shop 14, G/F, Golden Court, 22-52 Electric Road, Tin Hau, HK",,8/3/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,Smart Wealth Management Corporate Limited ,智信財富策劃管理有限公司,"Flat A5, 1/F., Mackenny Centre, 660-662 Castle Peak Road, Cheung Sha Wan, Kowloon",,8/3/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,EC Mortgage Referral Company Limited ,按揭易有限公司,"Rm 1507, 15/F, Star House, 3 Salisbury Road, Tsim Sha Tsui",,8/3/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,Wing Fu Property Agent Limited ,永富物業代理有限公司,"Shop K4, G/F Lai Wan Bldg, 33-35 Shaukeiwan Road, Sai Wan Ho, HK",,8/3/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,SIMPLE CREDIT LIMITED ,簡易信貸有限公司,"Flat/Rm 902A1, 9/F, Fourseas Building, No. 208-212 Nathan Road, Kowloon",,8/3/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,EASY PROPERTY SERVICES LIMITED ,置業易物業代理有限公司,"Unit A, 6/F, Century House, 3-4 Hanoi Road, Tsim Sha Tsui, KL",,12/3/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,DR. MORTGAGE BROKER LIMITED ,樓按博士按揭經紀有限公司,"15/F, Katherine House, Nos. 53-55 Chatham Road South, Kowloon",,20/4/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,GATTACA COMPANY LIMITED ,嘉恩悅有限公司,Unit 1603 16/F Tower 1 Silvercord 30 Canton Road Tsim Sha Tsui KL,,14/6/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,Thornton Consultants,,"Flat/Rm 5, 9/F, Lancashire Centre, 361 Shau Kei Wan Road, Shau Kei Wan",,12/7/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,FORTUNE ASSETS SERVICES LIMITED ,恒富資產服務有限公司,"Rm 2303-8, 23/F, Laford Centre, 838 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",,15/11/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,TRUSTY CENTURY LIMITED ,信用世紀有限公司,"Office Unit 1101, 11th Floor, Ginza Plaza, No. 2A Sai Yeung Choi Street South, Kowloon",,27/12/2018
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,Tyee Securities Limited ,天易證券有限公司,"Flat/Rm 2102, 21/F, Prosperity Tower, 39 Queen's Road Central, Central, Hong Kong",,10/7/2019
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,Best Leader Consultancy Limited ,佳領專業顧問有限公司,,觀塘巧明街111-113號富利廣場21樓2108室,11/7/2019
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,YANG FAN CORPORATE PLANNING LIMITED ,揚帆企業策劃有限公司,"Rm 1202, 12/F, Wan Chai Comm. Center, 194-204 Johnston Road, Wan Chai, Hong Kong",,30/10/2019
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,BF PROPERTIES ADVISORS LIMITED ,永豐置業諮詢有限公司,"Flat/Rm 1405, 14/F, Kenbo Commercial Building, 335-339 Queen's Road West, Hong Kong",,5/12/2019
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,MIGO CORPORATION LIMITED ,美高行有限公司,"Rm 404,Yu To Sang Building, 37 Queen's Road Central, Central, HK",,10/6/2020
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,Digital Resources Group Limited,資源數碼有限公司,"Rm A, 18/F, Lucky Plaza, 312-321 Lockhart Road, Wanchai, HK",,19/6/2020
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,OI WAH ENTERPRISES LIMITED ,靄華企業有限公司,"Rm 2302-2303, 23/F, Kwan Chart Tower, 6 Tonnochy Road, Wanchai, HK",,12/11/2020
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,Matt's Standard Company Limited ,名氏專業顧問有限公司,"No.2, G/F., Bamboo Court, No. 81 Castle Peak Road, San Hui, Tuen Mun, N.T., Hong Kong",,4/5/2021
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,HopesFung (Hong Kong-Asia) Limited ,灝豐香港亞洲有限公司,,香港 九龍 旺角 亞皆老街109號 皆旺商業大廈22樓05-06室,29/6/2021
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,Gutsy Mortgage Accounting Affairs Limited,吉時按揭會計事務所有限公司,"Unit B25, 5th Floor, East Sun Industrial Building, No.20 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong",,6/8/2021
As at 12:00 noon of 3 January 2022 ,5027,Easy Gold Credit Limited,易金來財務有限公司,2360 4888,PROFESSIONAL (INT'L) ASSET MANAGEMENT COMPANY LIMITED ,滙信(國際)資產管理有限公司,"Room A09, 19/F., Fortune Commercial Building, No.362, Sha Tsui Road, Tsuen Wan, N.T.",,9/12/2021
As at 12:00 noon of 3 January 2022 ,4930,Easy Golden Finance Limited,衍卓財務有限公司,2114 0102,Benefit (HK) Co. Limited,互利香港有限公司,"FLAT 4, 11/F, BLK 1, CHINA HONG KONG CITY, 33 CANTON RD, TST, KL",,19/10/2021
As at 12:00 noon of 3 January 2022 ,5369,Easy Lend Credit Service Limited,貸易財務有限公司,6776 4776,KRINA SALES AND MARKETING COMPANY,諾信銷售及推廣策劃公司,"UNIT 2001, 20/F, MONGKOK COMERCIAL CENTRE, 16 ARGYLE ST, MONGKOK, KLN",,25/7/2019
As at 12:00 noon of 3 January 2022 ,5369,Easy Lend Credit Service Limited,貸易財務有限公司,6776 4776,C&L PROFESSIONAL CONSULTANCY CO.,C&L專業顧問公司,"6/F, KIMBERLEY PLAZA, 45-47 KIMBERLEY ROAD, TSIM SHA TSUI, KLN",,25/7/2019
As at 12:00 noon of 3 January 2022 ,5369,Easy Lend Credit Service Limited,貸易財務有限公司,6776 4776,Anson International Accounting Centre Limited,安迅國際會計中心有限公司,RM A2 15/F KWONG ON BANK MONGKOK BRANCH BLDG 728-730 NATHAN RD MONGKOK KLN HONG KONG,,24/7/2020
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,EASY GROUP WEALTH MANAGEMENT LIMITED ,易財富管理有限公司,"Office D-F, 23/F, No.8 Hart Avenue, Tsim Sha Tsui, Kowloon.",,1/12/2016
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,LEADING FIGURE PROPERTY AGENCY LIMITED ,領圖地產代理有限公司,"Flat 1901, 19/F, Prosperity Place, No.6 Shing Yip Street, Kwun Tong, KL",,10/5/2017
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,EC Mortgage Referral Company Limited ,按揭易有限公司,"Rm 1507, 15/F, Star House, 3 Salisbury Road, Tsim Sha Tsui",,5/6/2017
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,EASY PROPERTY SERVICES LIMITED ,置業易物業代理有限公司,"Unit A, 6/F, Century House, 3-4 Hanoi Road, Tsim Sha Tsui, KL",,5/6/2017
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,ARCH Gallery Limited ,門藝廊有限公司,"Shop 14, G/F, Golden Court, 22-52 Electric Road, Tin Hau, HK",,14/6/2017
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,Wing Fu Property Agent Limited ,永富物業代理有限公司,"Shop K4, G/F Lai Wan Bldg, 33-35 Shaukeiwan Road, Sai Wan Ho, HK",,1/12/2017
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,SIMPLE CREDIT LIMITED ,簡易信貸有限公司,"Flat/Rm 902A1, 9/F, Fourseas Building, No. 208-212 Nathan Road, Kowloon",,6/2/2018
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,Star Music Hong Kong Company,,,新界葵涌葵豐街18-26號永康工業大廈13樓D室,15/2/2018
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,Chan Man Ho Evil,,"Flat C, 36/F, Block 1, Aria, 51 Fung Shing Street, Ngau Chi Wan, Kln",,27/2/2018
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,Smart Wealth Management Corporate Limited ,智信財富策劃管理有限公司,"Flat A5, 1/F., Mackenny Centre, 660-662 Castle Peak Road, Cheung Sha Wan, Kowloon",,7/3/2018
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,DR. MORTGAGE BROKER LIMITED ,樓按博士按揭經紀有限公司,"15/F, Katherine House, Nos. 53-55 Chatham Road South, Kowloon",,20/4/2018
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,GATTACA COMPANY LIMITED ,嘉恩悅有限公司,Unit 1603 16/F Tower 1 Silvercord 30 Canton Road Tsim Sha Tsui KL,,14/6/2018
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,Thornton Consultants,,"Flat/Rm 5, 9/F, Lancashire Centre, 361 Shau Kei Wan Road, Shau Kei Wan",,12/7/2018
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,FORTUNE ASSETS SERVICES LIMITED ,恒富資產服務有限公司,"Rm 2303-8, 23/F, Laford Centre, 838 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",,15/11/2018
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,TRUSTY CENTURY LIMITED ,信用世紀有限公司,"Office Unit 1101, 11th Floor, Ginza Plaza, No. 2A Sai Yeung Choi Street South, Kowloon",,27/12/2018
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,Best Leader Consultancy Limited ,佳領專業顧問有限公司,,觀塘巧明街111-113號富利廣場21樓2108室,10/7/2019
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,Tyee Securities Limited ,天易證券有限公司,"Flat/Rm 2102, 21/F, Prosperity Tower, 39 Queen's Road Central, Central, Hong Kong",,10/7/2019
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,YANG FAN CORPORATE PLANNING LIMITED ,揚帆企業策劃有限公司,"Rm 1202, 12/F, Wan Chai Comm. Center, 194-204 Johnston Road, Wan Chai, Hong Kong",,30/10/2019
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,BF PROPERTIES ADVISORS LIMITED ,永豐置業諮詢有限公司,"Flat/Rm 1405, 14/F, Kenbo Commercial Building, 335-339 Queen's Road West, Hong Kong",,5/12/2019
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,MIGO CORPORATION LIMITED ,美高行有限公司,"Rm 404,Yu To Sang Building, 37 Queen's Road Central, Central, HK",,10/6/2020
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,Digital Resources Group Limited,資源數碼有限公司,"Rm A, 18/F, Lucky Plaza, 312-321 Lockhart Road, Wanchai, HK",,19/6/2020
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,OI WAH ENTERPRISES LIMITED ,靄華企業有限公司,"Rm 2302-2303, 23/F, Kwan Chart Tower, 6 Tonnochy Road, Wanchai, HK",,12/11/2020
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,Matt's Standard Company Limited ,名氏專業顧問有限公司,"No.2, G/F., Bamboo Court, No. 81 Castle Peak Road, San Hui, Tuen Mun, N.T., Hong Kong",,4/5/2021
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,HopesFung (Hong Kong-Asia) Limited ,灝豐香港亞洲有限公司,,香港 九龍 旺角 亞皆老街109號 皆旺商業大廈22樓05-06室,29/6/2021
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,Gutsy Mortgage Accounting Affairs Limited,吉時按揭會計事務所有限公司,"Unit B25, 5th Floor, East Sun Industrial Building, No.20 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong",,6/8/2021
As at 12:00 noon of 3 January 2022 ,4193,Easy Lender Limited,信貸易有限公司,2360 4888,PROFESSIONAL (INT'L) ASSET MANAGEMENT COMPANY LIMITED ,滙信(國際)資產管理有限公司,"Room A09, 19/F., Fortune Commercial Building, No.362, Sha Tsui Road, Tsuen Wan, N.T.",,9/12/2021
As at 12:00 noon of 3 January 2022 ,5768,Easy Link Capital Limited,萬富資本(香港)有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,3414,Easy Loan Finance Limited,易按財務有限公司,2539 0939,SINO RICHTONE INC LIMITED ,中華滙通有限公司,"ROOM 203, CORN YAN CENTRE, NO. 3 JUPITER STREET, HONG KONG",,17/7/2017
As at 12:00 noon of 3 January 2022 ,6160,Easy Loan Limited,貸易有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,3061,Easy Loans Limited,依時財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,4672,Easy Match Credit Limited,易維信貸有限公司,2360 4888,EASY GROUP WEALTH MANAGEMENT LIMITED ,易財富管理有限公司,"Office D-F, 23/F, No.8 Hart Avence, Tsim Sha Tsui, Kowloon ",,11/5/2017
As at 12:00 noon of 3 January 2022 ,4672,Easy Match Credit Limited,易維信貸有限公司,2360 4888,EC Mortgage Referral Company Limited ,按揭易有限公司,"Rm 1507, 15/F, Star House, 3 Salisbury Road, Tsim Sha Tsui",,5/6/2017
As at 12:00 noon of 3 January 2022 ,4672,Easy Match Credit Limited,易維信貸有限公司,2360 4888,EASY PROPERTY SERVICES LIMITED ,置業易物業代理有限公司,"Unit A, 6/F, Century House, 3-4 Hanoi Road, Tsim Sha Tsui, KL",,5/6/2017
As at 12:00 noon of 3 January 2022 ,4672,Easy Match Credit Limited,易維信貸有限公司,2360 4888,LEADING FIGURE PROPERTY AGENCY LIMITED ,領圖地產代理有限公司,"Unit 1901, 19/F, Prosperity Place, No.6 Shing Yip Street, Kwun Tong, KL",,5/6/2017
As at 12:00 noon of 3 January 2022 ,4672,Easy Match Credit Limited,易維信貸有限公司,2360 4888,ARCH Gallery Limited ,門藝廊有限公司,"Shop 14, G/F, Golden Court, 22-52 Electric Road, Tin Hau, HK",,14/6/2017
As at 12:00 noon of 3 January 2022 ,4672,Easy Match Credit Limited,易維信貸有限公司,2360 4888,Wing Fu Property Agent Limited ,永富物業代理有限公司,"Shop K4, G/F Lai Wan Bldg, 33-35 Shaukeiwan Road, Sai Wan Ho, HK",,1/12/2017
As at 12:00 noon of 3 January 2022 ,4672,Easy Match Credit Limited,易維信貸有限公司,2360 4888,SIMPLE CREDIT LIMITED ,簡易信貸有限公司,"Flat/Rm 902A1, 9/F, Fourseas Building, No. 208-212 Nathan Road, Kowloon",,6/2/2018
As at 12:00 noon of 3 January 2022 ,4672,Easy Match Credit Limited,易維信貸有限公司,2360 4888,Star Music Hong Kong Company,,,新界葵涌葵豐街18-26號永康工業大廈13樓D室,15/2/2018
As at 12:00 noon of 3 January 2022 ,4672,Easy Match Credit Limited,易維信貸有限公司,2360 4888,Chan Man Ho Evil,,"Flat C, 36/F, Block 1, Aria, 51 Fung Shing Street, Ngau Chi Wan, Kln",,27/2/2018
